Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene	Percent	Dataset Size (#)	Dataset	hex_color	color
Cd_3	C. difficile	80	4300000	344000000	143681	140169	3456	56	3512	98282	95415	2867	47030	45812	1218	518	498	20	18806.68607594937	16254.5	79939	11442	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	141183	137810	3321	52	3373	96958	94205	2753	45857	44698	1159	501	481	20	17148.703164556962	15569.5	80084	11394	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	141656	138270	3336	50	3386	97190	94430	2760	46074	44902	1172	510	493	17	20067.68892405063	16443.5	80084	11477	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	143143	139675	3414	54	3468	97985	95157	2828	46759	45563	1196	512	493	19	18842.986075949368	16690.5	80084	11457	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	120023	117963	2032	28	2060	83194	81516	1678	38339	37617	722	377	364	13	19025.574050632913	14029	80084	11094	75	80	C. difficile #3	#42d4f4	cyan
Cd_4	C. difficile	2	4300000	8600000	1892	1892	0	0	0	1217	1217	0	702	702	0	9	9	0	1892	1892	1892	215	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	2145	2145	0	0	0	1359	1359	0	806	806	0	9	9	0	2145	2145	2145	273	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	2507	2507	0	0	0	1529	1529	0	1002	1002	0	15	15	0	2507	2507	2507	248	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	3950	3950	0	0	0	2534	2534	0	1456	1456	0	13	13	0	3950	3950	3950	372	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	7361	7361	0	0	0	4872	4872	0	2547	2547	0	31	31	0	7361	7361	7361	745	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	2935	2935	0	0	0	1926	1926	0	1040	1040	0	23	23	0	2935	2935	2935	311	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	3336	3336	0	0	0	2005	2005	0	1361	1361	0	21	21	0	3336	3336	3336	329	1	2	C. difficile #4	#4363d8	blue
