Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MaxSNPDist	NumBiallelicOverlappingGene	Percent	SNPDist_95p_of_max	Within_5p_MaxSNPDist	Plot_name	hex_color	color
Cd_3	C. difficile	8	4300000	34400000	25490	25406	83	1	84	17631	17565	66	8254	8228	26	64	63	1	17936	3097	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	24604	24523	81	0	81	17061	16997	64	7919	7892	27	69	67	2	17624	2889	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	26488	26379	108	1	109	18128	18043	85	8737	8699	38	79	77	2	17477	3284	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	97481	96382	1088	11	1099	70446	69526	920	28513	28151	362	222	215	7	76812	10033	10	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	24844	24753	89	2	91	17219	17147	72	8015	7987	28	63	62	1	17629	2869	10	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	35346	35129	215	2	217	24121	23946	175	11739	11665	74	102	100	2	18779	4073	10	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	104401	103051	1334	16	1350	74511	73387	1124	31397	30958	439	265	259	6	79677	10366	10	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	30076	29923	151	2	153	20508	20384	124	10005	9958	47	77	75	2	17815	3411	10	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	90905	90240	658	7	665	66152	65589	563	26183	25983	200	221	218	3	78690	9957	10	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	97249	96261	982	6	988	70136	69322	814	28567	28238	329	227	222	5	79539	9972	10	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	94162	93329	829	4	833	68336	67640	696	27285	27019	266	210	206	4	80001	9960	10	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	31756	31576	178	2	180	21987	21846	141	10232	10170	62	104	100	4	19262	3651	10	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	32228	32043	184	1	185	21852	21707	145	10843	10776	67	96	94	2	17638	3866	10	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	97511	96412	1088	11	1099	70457	69537	920	28532	28170	362	222	215	7	76812	10040	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	93808	92973	830	5	835	68119	67420	699	27151	26888	263	210	206	4	80001	9763	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	38412	38137	273	2	275	26255	26031	224	12698	12607	91	120	118	2	19284	4392	12.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	104427	103077	1334	16	1350	74522	73398	1124	31412	30973	439	265	259	6	79677	10378	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	34439	34232	205	2	207	23195	23030	165	11729	11662	67	95	92	3	18073	4045	12.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	98704	97642	1052	10	1062	71137	70254	883	29065	28724	341	239	234	5	79597	10216	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	99653	98549	1098	6	1104	71589	70678	911	29542	29171	371	244	239	5	79641	10128	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	94216	93383	829	4	833	68345	67649	696	27326	27060	266	215	211	4	80001	9962	12.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	57550	57025	523	2	525	40651	40226	425	17747	17568	179	163	158	5	39408	6322	12.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	34536	34316	219	1	220	23296	23129	167	11744	11660	84	105	101	4	17915	4091	12.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	103493	102135	1342	16	1358	73770	72652	1118	31223	30761	462	259	251	8	77244	10353	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	105405	104043	1346	16	1362	75013	73881	1132	31900	31464	436	281	273	8	80001	10497	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	68259	67460	791	8	799	46929	46268	661	22266	22003	263	211	206	5	39487	7330	25	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	121930	119538	2360	32	2392	85007	83040	1967	38454	37659	795	404	392	12	79677	10893	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	43786	43432	351	3	354	29289	29004	285	15076	14959	117	149	146	3	19262	4994	25	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	107296	105829	1449	18	1467	76034	74826	1208	32765	32274	491	290	282	8	79748	10472	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	107710	106220	1476	14	1490	76416	75184	1232	32793	32294	499	295	288	7	80084	10656	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	104067	102752	1297	18	1315	73998	72902	1096	31538	31103	435	271	264	7	80001	10289	25	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	67881	67100	775	6	781	46638	46000	638	22163	21898	265	212	207	5	39408	7204	25	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
